Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,571,0,280,299.76914450934,1.206791988806799,669.4450420036446,39.0,9.665118213581035,0.0,280,390,430,460,530,550,590,610,670,670,670
POST,/v1/predict,4732,0,880,819.6997582605468,18.30933298333548,1254.7050830035005,122.81487743026204,80.09691661412513,0.0,880,930,950,970,1000,1000,1100,1100,1200,1300,1300
,Aggregated,5303,0,870,763.716280898309,1.206791988806799,1254.7050830035005,113.79011880067885,89.76203482770617,0.0,870,920,940,960,1000,1000,1100,1100,1200,1300,1300
