Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,586,0,47,52.83044882074202,1.0725829924922436,214.2858330043964,39.0,9.919946842246713,0.0,47,65,75,83,110,140,170,180,210,210,210
POST,/v1/predict,4856,0,250,243.3829886157143,18.395249993773177,560.1613330072723,122.74917627677101,82.20351854257686,0.0,250,290,310,330,370,400,430,450,510,560,560
,Aggregated,5442,0,230,222.86410064808226,1.0725829924922436,560.1613330072723,113.73098125689084,92.12346538482356,0.0,230,280,300,320,370,400,430,450,510,560,560
