Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,189,0,2,3.7655308297539634,0.9115000138990581,31.223083002259955,39.0,3.195610619462177,0.0,2,3,3,5,9,11,21,28,31,31,31
POST,/v1/predict,1607,0,23,27.23396274543848,18.265542021254078,96.85183301917277,121.92283758556316,27.171144261776288,0.0,23,28,31,33,39,45,55,70,97,97,97
,Aggregated,1796,0,22,24.76428923092602,0.9115000138990581,96.85183301917277,113.19654788418708,30.366754881238467,0.0,22,27,29,32,38,44,54,69,97,97,97
